"Code";"Omschrijving";"TypologieCode";"Opmerking";"RefMin";"RefMax";"Rompgemeenschap"
"I5";"DG [Dennen-Eikenbos] met Pontische rododendron";"T2";;0,00;0,79;-1
"I5";"DG [Dennen-Eikenbos] met Pontische rododendron";"T3";;0,00;0,82;-1
"I6";"RG [Dennen-Eikenbos] met Gestreepte witbol en Gewoon struisgras";"T2";;0,00;0,39;-1
"I6";"RG [Dennen-Eikenbos] met Gestreepte witbol en Gewoon struisgras";"T3";;0,00;0,37;-1
"J";"Berken-Elzenbos";"T1";;0,00;0,38;0
"J1";"Berken-Elzenbos met Zomereik";"T2";;0,00;0,43;0
"J1";"Berken-Elzenbos met Zomereik";"T3";;0,00;0,41;0
"J2";"Berken-Elzenbos met Wilde gagel en Veenmos";"T2";;0,00;0,53;0
"J2";"Berken-Elzenbos met Wilde gagel en Veenmos";"T3";;0,00;0,52;0
"J3";"Berken-Elzenbos met Geoorde wilg en Veenmos";"T2";;0,00;0,32;0
"J3";"Berken-Elzenbos met Geoorde wilg en Veenmos";"T3";;0,00;0,31;0
