"ID";"TypologieCode";"BostypeCode";"SPECIES_NR";"Freq";"KarBed";"IndVal"
3;"T1";"D";1;0,01;1,27;6,240777e-04
4;"T1";"E";1;0,05;1,83;6,911607e-03
5;"T1";"G";1;7,462687e-03;1,75;1,735433e-04
6;"T1";"H";1;3,2e-03;3,00;4,246068e-05
7;"T1";"I";1;1,328021e-03;1,00;6,848118e-06
8;"T1";"A";2;0,13;2,00;9,959072e-04
9;"T1";"C";2;0,03;1,81;5,548314e-05
10;"T1";"D";2;0,21;2,49;4,807597e-03
11;"T1";"E";2;0,42;2,47;0,01
12;"T1";"F";2;0,42;2,33;8,940226e-03
13;"T1";"G";2;0,45;2,74;0,02
14;"T1";"H";2;0,34;2,55;0,01
15;"T1";"I";2;0,08;1,83;1,006366e-03
16;"T1";"J";2;0,01;1,50;4,414071e-05
17;"T1";"A";4;0,01;2,00;1,472493e-03
18;"T1";"D";4;2,09937e-03;2,66;3,34779e-05
19;"T1";"I";4;3,652058e-03;1,81;1,494029e-04
20;"T1";"J";4;4,132231e-03;2,00;1,99871e-04
21;"T1";"C";5;0,01;2,14;1,995047e-03
22;"T1";"D";5;6,997901e-04;2,00;4,558968e-06
23;"T1";"J";5;4,132231e-03;13,00;2,449631e-04
24;"T1";"C";10;8,241758e-03;1,66;1,514835e-05
25;"T1";"D";10;0,26;6,51;0,02
26;"T1";"E";10;0,11;12,41;4,040902e-03
27;"T1";"F";10;0,07;2,00;9,115768e-04
28;"T1";"G";10;0,12;4,12;6,698133e-03
29;"T1";"H";10;1,6e-03;1,00;1,551552e-06
30;"T1";"I";10;3,320053e-04;1,00;6,25591e-08
31;"T1";"C";11;0,01;1,28;6,794431e-05
32;"T1";"D";11;0,13;8,05;5,371462e-03
33;"T1";"E";11;0,52;24,40;0,06
34;"T1";"G";11;0,02;5,26;2,938622e-04
35;"T1";"I";11;3,320053e-04;1,00;5,153765e-08
36;"T1";"D";17;4,19874e-03;14,50;2,401161e-04
37;"T1";"I";17;3,984064e-03;8,08;3,188154e-04
38;"T1";"J";17;8,264463e-03;2,50;1,43355e-03
39;"T1";"C";18;0,04;5,12;9,55564e-04
40;"T1";"D";18;0,01;7,30;2,210981e-04
41;"T1";"E";18;0,01;1,50;2,489274e-04
42;"T1";"G";18;3,731343e-03;1,50;1,406319e-05
43;"T1";"H";18;0,01;3,33;2,787072e-04
44;"T1";"I";18;0,06;3,47;4,799691e-03
45;"T1";"J";18;0,10;8,24;0,01
46;"T1";"A";19;0,01;4,00;1,467293e-04
47;"T1";"C";19;0,02;6,66;2,681357e-04
48;"T1";"D";19;0,01;3,29;2,135019e-04
49;"T1";"G";19;5,597015e-03;2,66;2,806185e-05
50;"T1";"H";19;0,04;3,57;2,062812e-03
51;"T1";"I";19;0,08;8,99;7,937882e-03
52;"T1";"J";19;0,10;6,00;0,01
53;"T1";"C";24;0,09;3,02;2,667532e-03
54;"T1";"D";24;0,22;3,48;0,02
55;"T1";"E";24;0,01;2,50;1,372643e-04
56;"T1";"G";24;0,13;3,20;9,49959e-03
57;"T1";"H";24;4,8e-03;2,66;1,707617e-05
58;"T1";"I";24;1,328021e-03;1,50;1,22403e-06
59;"T1";"B";28;0,01;1,00;3,85221e-04
60;"T1";"C";28;0,04;1,72;5,240972e-03
61;"T1";"D";28;6,997901e-04;1,00;1,811242e-06
62;"T1";"A";29;0,11;1,33;1,008347e-03
63;"T1";"B";29;0,08;6,12;9,631269e-04
64;"T1";"D";29;0,08;4,11;1,141241e-03
65;"T1";"E";29;0,53;2,66;0,03
66;"T1";"F";29;0,71;3,10;0,03
67;"T1";"G";29;7,462687e-03;1,75;9,523236e-06
68;"T1";"I";29;3,320053e-04;1,00;2,348703e-08
69;"T1";"D";33;4,89853e-03;1,85;7,444474e-05
70;"T1";"E";33;0,06;2,57;0,01
71;"T1";"D";34;0,02;9,90;5,933554e-04
72;"T1";"E";34;0,03;4,00;1,380442e-03
73;"T1";"G";34;0,12;49,67;0,02
74;"T1";"H";34;1,6e-03;2,00;4,770333e-06
75;"T1";"A";35;0,01;1,00;1,351298e-04
76;"T1";"D";35;0,01;2,15;1,232312e-04
77;"T1";"E";35;0,28;2,56;0,04
78;"T1";"C";36;0,17;2,40;0,01
79;"T1";"D";36;0,02;3,97;3,787556e-04
80;"T1";"G";36;9,328358e-03;1,60;6,890262e-05
81;"T1";"H";36;3,2e-03;35,00;1,078934e-05
82;"T1";"I";36;6,972112e-03;1,66;4,796205e-05
83;"T1";"J";36;0,11;2,10;0,01
84;"T1";"A";37;0,03;1,00;1,34779e-03
85;"T1";"C";37;0,02;1,70;7,601777e-04
86;"T1";"D";37;0,02;2,22;1,042703e-03
87;"T1";"G";37;0,01;1,66;5,799683e-04
88;"T1";"H";37;3,2e-03;1,50;2,80297e-05
89;"T1";"I";37;5,312085e-03;1,56;7,23307e-05
90;"T1";"J";37;0,01;2,33;4,116246e-04
91;"T1";"D";40;3,49895e-03;2,20;7,838172e-04
92;"T1";"D";42;0,02;6,95;4,919178e-03
93;"T1";"E";42;9,615385e-03;2,00;4,15219e-04
94;"T1";"I";42;3,320053e-04;2,00;9,25661e-07
95;"T1";"A";54;0,09;1,00;0,01
96;"T1";"C";56;0,03;4,16;9,743945e-05
97;"T1";"D";56;0,31;18,79;0,01
98;"T1";"E";56;0,13;3,57;2,211165e-03
99;"T1";"G";56;0,67;32,78;0,08
100;"T1";"H";56;0,28;18,88;0,01
101;"T1";"I";56;4,98008e-03;4,13;5,658775e-06
102;"T1";"J";56;4,132231e-03;2,00;4,071139e-06
103;"T1";"D";58;6,997901e-04;2,00;7,809872e-06
104;"T1";"E";58;9,615385e-03;2,00;1,162859e-03
105;"T1";"G";58;3,731343e-03;1,50;2,627837e-04
106;"T1";"C";59;2,747253e-03;3,00;1,766407e-04
107;"T1";"D";59;2,79916e-03;3,75;3,164611e-04
108;"T1";"B";60;0,12;2,16;4,413572e-03
109;"T1";"C";60;0,25;2,10;0,01
110;"T1";"D";60;0,32;2,32;0,03
111;"T1";"E";60;0,03;1,25;3,433187e-04
112;"T1";"G";60;0,01;1,25;7,758339e-05
113;"T1";"H";60;4,8e-03;1,66;1,067752e-05
114;"T1";"I";60;6,640106e-04;1,50;1,913428e-07
115;"T1";"J";60;4,132231e-03;1,00;7,74334e-06
116;"T1";"A";66;0,01;2,00;3,104276e-04
117;"T1";"D";66;2,79916e-03;1,25;1,254708e-05
118;"T1";"E";66;9,615385e-03;1,00;1,167632e-04
119;"T1";"G";66;0,01;2,14;3,232313e-04
120;"T1";"H";66;0,06;4,27;0,01
121;"T1";"I";66;0,01;5,19;4,37571e-04
122;"T1";"J";66;0,01;2,66;3,792271e-04
123;"T1";"A";68;0,15;9,37;0,01
124;"T1";"B";68;0,01;1,00;1,377486e-04
125;"T1";"D";68;2,09937e-03;2,00;5,829027e-06
126;"T1";"A";70;0,05;1,00;3,622256e-04
127;"T1";"B";70;0,41;2,27;0,03
128;"T1";"D";70;0,06;6,51;8,053396e-04
129;"T1";"E";70;0,32;10,23;0,01
130;"T1";"F";70;0,21;1,66;4,425907e-03
131;"T1";"B";78;0,08;2,87;0,01
132;"T1";"C";78;8,241758e-03;1,33;9,483766e-05
133;"T1";"D";78;1,39958e-03;1,00;4,71963e-06
134;"T1";"B";83;0,04;2,00;7,782939e-03
135;"T1";"D";83;6,298111e-03;1,22;1,852572e-04
136;"T1";"A";84;0,03;1,00;3,319397e-03
137;"T1";"D";84;3,49895e-03;1,80;5,240849e-05
138;"T1";"E";84;9,615385e-03;1,00;3,121368e-04
139;"T1";"D";86;3,49895e-03;1,80;8,478988e-05
140;"T1";"E";86;0,02;2,00;4,544957e-03
141;"T1";"A";96;0,17;1,22;0,01
142;"T1";"C";96;0,02;10,20;3,686148e-04
143;"T1";"D";96;0,05;14,60;2,384018e-03
144;"T1";"G";96;1,865672e-03;2,00;3,471977e-06
145;"T1";"H";96;4,8e-03;1,66;3,058148e-05
146;"T1";"I";96;1,992032e-03;2,83;4,932224e-06
147;"T1";"B";101;0,02;1,00;3,019258e-03
148;"T1";"C";101;2,747253e-03;2,00;3,169546e-05
149;"T1";"D";101;6,997901e-03;1,40;3,549005e-04
