"ID";"TypologieCode";"BostypeCode";"SPECIES_NR";"Freq";"KarBed";"IndVal"
150;"T1";"I";101;3,320053e-04;1,00;1,178052e-06
151;"T1";"D";102;2,79916e-03;2,75;1,964709e-05
152;"T1";"E";102;0,08;13,66;0,01
153;"T1";"C";103;2,747253e-03;2,00;6,245523e-07
154;"T1";"D";103;0,20;2,41;5,840824e-03
155;"T1";"E";103;0,25;3,25;7,590829e-03
156;"T1";"F";103;0,92;2,23;0,05
157;"T1";"G";103;0,17;2,04;4,979075e-03
158;"T1";"H";103;3,2e-03;1,00;2,302884e-06
159;"T1";"I";103;6,640106e-04;1,00;9,28531e-08
160;"T1";"D";110;5,598321e-03;8,25;3,143454e-05
161;"T1";"F";110;0,21;4,66;0,02
162;"T1";"G";110;1,865672e-03;3,00;4,131633e-06
163;"T1";"H";110;1,6e-03;8,00;4,043532e-06
164;"T1";"C";119;0,31;3,34;7,867956e-03
165;"T1";"D";119;0,20;2,46;5,582404e-03
166;"T1";"E";119;0,02;1,33;8,77367e-05
167;"T1";"G";119;0,59;6,59;0,05
168;"T1";"H";119;0,29;4,40;0,01
169;"T1";"I";119;0,05;2,41;5,988661e-04
170;"T1";"J";119;0,17;2,41;6,504689e-03
171;"T1";"B";121;0,01;1,00;8,055471e-04
172;"T1";"C";121;0,01;2,66;1,217728e-03
173;"T1";"D";121;1,39958e-03;1,50;1,515017e-05
174;"T1";"I";121;6,640106e-04;1,50;5,028928e-06
175;"T1";"C";139;0,04;1,75;7,974903e-04
176;"T1";"D";139;9,797061e-03;2,71;6,836773e-05
177;"T1";"G";139;7,462687e-03;2,00;4,694719e-05
178;"T1";"H";139;0,01;3,00;2,326022e-04
179;"T1";"I";139;0,08;1,96;7,766987e-03
180;"T1";"J";139;0,15;2,24;0,02
181;"T1";"C";140;0,02;1,50;2,826189e-04
182;"T1";"D";140;7,697691e-03;1,63;5,982962e-05
183;"T1";"G";140;5,597015e-03;1,66;3,743415e-05
184;"T1";"H";140;0,02;2,76;6,879412e-04
185;"T1";"I";140;0,11;1,91;0,02
186;"T1";"J";140;0,04;2,08;3,825846e-03
187;"T1";"B";141;0,02;1,00;3,84371e-03
188;"T1";"C";141;2,747253e-03;1,00;4,035037e-05
189;"T1";"D";141;6,997901e-04;2,00;4,518114e-06
190;"T1";"B";143;0,13;1,07;0,02
191;"T1";"C";143;0,01;3,33;2,245578e-04
192;"T1";"D";143;6,997901e-04;1,00;6,9845e-07
193;"T1";"I";143;3,320053e-04;1,00;2,318426e-07
194;"T1";"J";143;4,132231e-03;2,00;3,752921e-05
195;"T1";"C";144;0,01;1,75;8,418579e-04
196;"T1";"D";144;3,49895e-03;2,00;1,472884e-04
197;"T1";"J";144;4,132231e-03;1,00;3,165647e-04
198;"T1";"D";146;6,997901e-04;3,00;5,349596e-07
199;"T1";"G";146;3,731343e-03;1,00;1,800013e-05
200;"T1";"H";146;0,07;2,97;8,526289e-03
201;"T1";"I";146;0,03;1,85;1,99522e-03
202;"T1";"J";146;0,09;6,04;0,01
203;"T1";"C";151;0,01;3,00;1,917379e-05
204;"T1";"D";151;0,07;2,70;1,743843e-03
205;"T1";"E";151;0,04;3,20;4,994832e-04
206;"T1";"F";151;0,64;3,77;0,05
207;"T1";"G";151;0,02;2,66;1,625379e-04
208;"T1";"H";151;0,01;1,62;7,069868e-05
209;"T1";"I";151;6,640106e-04;7,00;1,781622e-07
210;"T1";"A";165;0,05;1,00;5,846154e-03
211;"T1";"D";165;7,697691e-03;1,72;1,985526e-04
212;"T1";"I";165;3,320053e-04;8,00;5,446885e-07
213;"T1";"A";167;0,31;1,25;0,03
214;"T1";"D";167;4,89853e-03;1,14;1,687058e-05
215;"T1";"C";173;0,24;11,53;0,01
216;"T1";"D";173;0,01;2,35;2,107681e-04
217;"T1";"E";173;9,615385e-03;1,00;4,002876e-05
218;"T1";"G";173;1,865672e-03;1,00;2,261431e-06
219;"T1";"H";173;3,2e-03;3,00;8,852839e-06
220;"T1";"I";173;5,312085e-03;4,18;2,284477e-05
221;"T1";"J";173;0,12;7,83;0,01
222;"T1";"A";174;0,39;22,45;0,03
223;"T1";"C";174;0,01;4,40;5,292267e-05
224;"T1";"D";174;9,097271e-03;3,76;4,005881e-05
225;"T1";"H";174;4,8e-03;8,66;1,756255e-05
226;"T1";"I";174;9,960159e-03;3,76;7,081281e-05
227;"T1";"J";174;0,03;10,37;8,151272e-04
228;"T1";"C";178;0,02;9,87;1,360446e-03
229;"T1";"D";178;2,09937e-03;6,00;2,142167e-05
230;"T1";"E";178;9,615385e-03;2,00;3,544003e-04
231;"T1";"J";178;0,01;14,33;1,151032e-03
232;"T1";"B";185;0,16;2,50;0,03
233;"T1";"C";185;2,747253e-03;1,00;5,783009e-06
234;"T1";"H";186;0,02;2,60;7,266179e-04
235;"T1";"I";186;0,18;5,24;0,03
236;"T1";"J";186;0,07;3,50;6,829186e-03
237;"T1";"A";188;0,01;2,00;5,199251e-05
238;"T1";"B";188;0,52;2,58;0,06
239;"T1";"C";188;0,21;6,80;6,954647e-03
240;"T1";"D";188;0,06;2,60;1,111678e-03
241;"T1";"E";188;9,615385e-03;2,00;1,955629e-05
242;"T1";"I";188;9,960159e-04;1,66;3,923772e-07
243;"T1";"J";188;8,264463e-03;2,00;2,822912e-05
244;"T1";"D";199;0,01;1,69;2,38383e-04
245;"T1";"F";199;0,21;2,33;0,01
246;"T1";"G";199;0,01;1,85;1,85742e-04
247;"T1";"B";201;0,73;7,25;0,13
248;"T1";"C";201;0,02;11,20;1,153524e-04
249;"T1";"D";201;0,07;11,34;1,317586e-03
250;"T1";"G";201;7,462687e-03;3,75;1,738405e-05
251;"T1";"J";201;4,132231e-03;3,00;6,940174e-06
252;"T1";"B";202;0,04;3,25;3,231252e-03
253;"T1";"C";202;0,01;1,83;3,052883e-04
254;"T1";"D";202;0,03;2,57;2,977785e-03
255;"T1";"G";202;0,01;1,57;3,913884e-04
256;"T1";"H";202;4,8e-03;1,33;7,035476e-05
257;"T1";"I";202;3,320053e-04;2,00;3,151921e-07
258;"T1";"A";203;0,13;2,00;0,01
259;"T1";"C";203;0,01;2,50;9,467556e-05
260;"T1";"D";203;0,01;2,04;3,206807e-04
261;"T1";"H";203;1,6e-03;1,00;5,454579e-06
262;"T1";"I";203;3,320053e-04;2,00;2,199305e-07
263;"T1";"B";205;0,01;1,00;2,617095e-05
264;"T1";"C";205;0,46;4,26;0,03
265;"T1";"D";205;0,27;2,79;0,01
266;"T1";"E";205;0,02;1,66;1,648966e-04
267;"T1";"G";205;0,08;2,97;2,384861e-03
268;"T1";"H";205;4,8e-03;1,66;9,117215e-06
269;"T1";"I";205;6,640106e-04;1,00;1,633819e-07
270;"T1";"J";205;0,01;2,50;1,057889e-04
271;"T1";"D";208;2,79916e-03;1,75;3,327959e-05
272;"T1";"E";208;0,04;2,00;7,742501e-03
273;"T1";"G";208;1,865672e-03;3,00;1,749655e-05
274;"T1";"B";211;0,02;1,00;5,765594e-04
275;"T1";"C";211;0,10;10,48;8,28599e-03
276;"T1";"D";211;9,797061e-03;4,21;1,328332e-04
277;"T1";"I";211;6,640106e-04;2,50;8,998467e-07
278;"T1";"J";211;0,02;17,14;1,784353e-03
279;"T1";"C";212;0,18;30,39;0,01
280;"T1";"D";212;0,09;9,17;5,5935e-03
281;"T1";"G";212;5,597015e-03;3,33;2,467619e-05
282;"T1";"H";212;6,4e-03;2,25;4,293335e-05
283;"T1";"I";212;1,992032e-03;7,33;3,894947e-06
284;"T1";"J";212;0,04;13,16;2,521956e-03
285;"T1";"A";215;0,50;6,65;0,05
286;"T1";"D";215;2,09937e-03;1,00;1,856593e-06
287;"T1";"I";215;0,01;2,45;8,388188e-05
288;"T1";"J";215;8,264463e-03;1,00;4,433719e-05
289;"T1";"C";219;0,05;2,36;2,931755e-03
290;"T1";"I";219;2,324037e-03;2,14;1,479054e-05
291;"T1";"J";219;0,06;4,93;0,01
292;"T1";"C";228;0,01;3,40;3,958149e-04
293;"T1";"D";228;6,997901e-04;1,00;1,772808e-06
294;"T1";"G";228;1,865672e-03;1,00;1,49127e-05
295;"T1";"H";228;1,6e-03;1,00;1,459471e-05
296;"T1";"I";228;2,656042e-03;1,00;3,766168e-05
297;"T1";"J";228;0,04;1,50;9,525675e-03
298;"T1";"C";229;0,25;5,45;0,02
299;"T1";"D";229;0,01;1,58;1,000376e-04
300;"T1";"G";229;1,865672e-03;1,00;2,911789e-06
301;"T1";"H";229;1,6e-03;2,00;2,8497e-06
302;"T1";"I";229;1,992032e-03;5,16;4,136432e-06
303;"T1";"J";229;0,04;3,70;1,859942e-03
304;"T1";"A";235;0,03;2,00;3,016415e-03
305;"T1";"C";235;8,241758e-03;2,00;1,531181e-04
306;"T1";"D";235;2,79916e-03;2,00;3,04799e-05
307;"T1";"G";235;1,865672e-03;2,00;1,602463e-05
308;"T1";"H";235;4,8e-03;2,66;1,411464e-04
309;"T1";"I";235;6,640106e-04;2,50;2,529365e-06
310;"T1";"C";237;0,02;6,66;2,263908e-03
311;"T1";"D";237;1,39958e-03;2,50;1,251824e-05
312;"T1";"I";237;6,640106e-04;2,50;4,15529e-06
313;"T1";"J";237;8,264463e-03;1,50;6,726317e-04
314;"T1";"A";244;0,01;3,00;4,951407e-04
315;"T1";"C";244;0,02;2,00;7,149266e-04
316;"T1";"I";244;6,640106e-04;7,00;1,660768e-06
317;"T1";"J";244;0,04;4,90;8,132246e-03
318;"T1";"C";245;0,01;1,16;1,021976e-03
319;"T1";"D";245;2,09937e-03;1,66;2,860818e-05
320;"T1";"H";245;3,2e-03;1,00;1,046746e-04
321;"T1";"I";245;3,320053e-04;1,00;1,055129e-06
322;"T1";"J";245;0,01;1,33;1,537178e-03
323;"T1";"C";246;2,747253e-03;1,00;2,695699e-05
324;"T1";"D";246;2,09937e-03;1,66;2,716586e-05
325;"T1";"H";246;3,2e-03;2,00;9,939733e-05
326;"T1";"I";246;7,636122e-03;1,43;5,30023e-04
327;"T1";"J";246;0,02;1,60;4,054666e-03
328;"T1";"C";247;2,747253e-03;1,00;1,087121e-04
329;"T1";"D";247;2,79916e-03;1,25;1,947634e-04
330;"T1";"G";247;1,865672e-03;2,00;1,023957e-04
331;"T1";"H";247;1,6e-03;2,00;1,002123e-04
332;"T1";"C";249;0,10;10,72;9,893278e-03
333;"T1";"D";249;2,79916e-03;4,25;1,294692e-05
334;"T1";"G";249;1,865672e-03;2,00;6,806768e-06
335;"T1";"I";249;3,320053e-04;3,00;2,68599e-07
336;"T1";"J";249;0,02;3,71;2,130475e-03
337;"T1";"C";250;0,01;9,00;7,143676e-04
338;"T1";"D";250;0,02;8,05;3,379544e-03
339;"T1";"G";250;5,597015e-03;1,33;1,682154e-04
340;"T1";"C";251;2,747253e-03;3,00;2,225482e-06
341;"T1";"D";251;1,39958e-03;1,00;9,967671e-07
342;"T1";"G";251;0,01;3,00;2,096178e-04
343;"T1";"H";251;0,22;2,56;0,04
344;"T1";"I";251;0,12;1,83;0,01
345;"T1";"J";251;0,06;1,87;3,427739e-03
346;"T1";"C";254;0,10;3,17;0,01
347;"T1";"D";254;2,09937e-03;1,66;7,662479e-06
348;"T1";"I";254;3,320053e-04;1,00;2,826082e-07
349;"T1";"J";254;0,01;1,75;7,31949e-04
350;"T1";"C";258;0,21;6,19;8,88532e-03
351;"T1";"D";258;0,13;2,63;5,965684e-03
352;"T1";"E";258;0,01;2,00;9,739501e-05
353;"T1";"F";258;0,07;1,00;7,909595e-04
354;"T1";"G";258;0,09;3,76;3,577901e-03
355;"T1";"H";258;0,09;3,38;4,686312e-03
356;"T1";"I";258;9,628154e-03;2,00;4,56507e-05
357;"T1";"J";258;0,03;1,75;5,623511e-04
358;"T1";"C";259;0,06;12,26;6,838906e-03
359;"T1";"D";259;0,01;2,27;4,690138e-04
360;"T1";"C";260;0,01;2,20;4,809506e-04
361;"T1";"J";260;0,03;16,44;9,375385e-03
362;"T1";"D";263;0,01;9,06;2,435983e-03
363;"T1";"I";263;3,320053e-04;18,00;3,158583e-06
364;"T1";"C";264;0,01;2,50;5,6005e-05
365;"T1";"D";264;0,17;2,15;0,01
366;"T1";"E";264;0,02;1,66;2,334316e-04
367;"T1";"F";264;0,21;1,33;7,582932e-03
368;"T1";"G";264;0,16;2,52;0,01
369;"T1";"H";264;0,02;1,35;4,144436e-04
370;"T1";"I";264;2,656042e-03;1,25;3,700598e-06
371;"T1";"C";267;0,02;7,44;2,13775e-03
372;"T1";"J";267;0,01;5,66;1,429085e-03
373;"T1";"D";270;0,02;1,42;3,872638e-04
374;"T1";"E";270;9,615385e-03;4,00;5,294955e-05
375;"T1";"F";270;0,14;1,50;6,88018e-03
376;"T1";"G";270;0,07;2,10;4,78623e-03
377;"T1";"H";270;0,04;2,06;2,634846e-03
378;"T1";"I";270;0,01;1,41;1,134385e-04
379;"T1";"C";273;2,747253e-03;1,00;2,833525e-06
380;"T1";"D";273;0,01;1,60;1,982973e-04
381;"T1";"E";273;0,02;1,33;4,251699e-04
382;"T1";"G";273;0,06;1,78;3,653715e-03
383;"T1";"H";273;0,08;3,62;8,19118e-03
384;"T1";"I";273;0,12;1,73;0,01
385;"T1";"J";273;0,01;1,25;2,727663e-04
386;"T1";"D";292;2,09937e-03;2,33;3,18963e-04
387;"T1";"I";292;9,960159e-04;1,00;1,058762e-04
388;"T1";"A";298;0,17;1,55;0,01
389;"T1";"D";298;6,298111e-03;2,66;4,640383e-05
390;"T1";"H";298;1,6e-03;1,00;4,716312e-06
391;"T1";"I";298;2,988048e-03;1,55;1,540323e-05
392;"T1";"J";298;4,132231e-03;1,00;3,078243e-05
393;"T1";"A";303;0,01;1,00;1,685398e-04
394;"T1";"C";303;2,747253e-03;1,00;3,802379e-06
395;"T1";"D";303;0,03;3,72;9,405041e-04
396;"T1";"E";303;0,05;4,00;2,282184e-03
397;"T1";"F";303;0,14;1,00;8,237316e-03
398;"T1";"G";303;1,865672e-03;2,00;3,581455e-06
399;"T1";"A";305;0,03;1,00;2,354663e-03
400;"T1";"D";305;0,01;3,15;5,948276e-04
401;"T1";"E";305;0,01;1,50;8,85675e-04
402;"T1";"I";305;1,328021e-03;1,50;7,897854e-06
403;"T1";"C";315;5,494505e-03;1,50;2,562778e-04
404;"T1";"D";315;9,797061e-03;1,07;1,406101e-03
405;"T1";"D";319;8,397481e-03;1,66;1,809616e-03
406;"T1";"I";319;3,320053e-04;2,00;4,1714e-06
407;"T1";"C";322;2,747253e-03;10,00;2,662052e-05
408;"T1";"D";322;0,03;6,26;6,307276e-03
409;"T1";"G";322;1,865672e-03;1,00;2,507383e-05
410;"T1";"C";323;2,747253e-03;1,00;2,323385e-05
411;"T1";"D";323;0,03;19,62;6,766609e-03
412;"T1";"G";323;3,731343e-03;1,00;8,753571e-05
413;"T1";"C";329;0,08;4,40;6,434242e-04
414;"T1";"D";329;0,31;5,51;0,01
415;"T1";"E";329;0,23;5,04;6,865469e-03
416;"T1";"F";329;0,50;10,28;0,01
417;"T1";"G";329;0,20;3,41;7,854283e-03
418;"T1";"H";329;0,02;1,94;1,904566e-04
419;"T1";"I";329;3,320053e-03;1,40;2,657189e-06
420;"T1";"J";329;0,01;1,00;3,87116e-05
421;"T1";"A";331;0,23;1,58;0,01
422;"T1";"B";331;0,01;1,00;6,73258e-05
423;"T1";"C";331;0,02;2,50;1,809333e-04
424;"T1";"D";331;0,06;2,40;2,737877e-03
425;"T1";"G";331;3,731343e-03;1,50;1,06513e-05
426;"T1";"H";331;1,6e-03;2,00;2,606044e-06
427;"T1";"I";331;4,316069e-03;1,92;1,775795e-05
428;"T1";"J";331;4,132231e-03;8,00;1,700913e-05
429;"T1";"B";334;0,03;3,33;7,407444e-04
430;"T1";"C";334;0,09;2,96;3,763662e-03
431;"T1";"D";334;0,13;3,79;0,01
432;"T1";"E";334;9,615385e-03;3,00;5,762031e-05
433;"T1";"G";334;3,731343e-03;1,00;1,302108e-05
434;"T1";"J";334;8,264463e-03;2,00;8,317378e-05
435;"T1";"A";335;0,15;1,00;3,193017e-03
436;"T1";"C";335;0,37;2,31;0,02
437;"T1";"D";335;0,20;1,66;0,01
438;"T1";"E";335;0,01;1,50;7,506318e-05
439;"T1";"G";335;0,03;1,64;3,063911e-04
440;"T1";"H";335;3,2e-03;2,50;4,15028e-06
441;"T1";"I";335;4,98008e-03;1,20;9,412917e-06
442;"T1";"J";335;0,07;1,89;2,444697e-03
443;"T1";"A";336;0,23;1,25;0,02
444;"T1";"C";336;0,01;1,50;5,014363e-05
445;"T1";"D";336;0,04;1,72;1,528598e-03
446;"T1";"E";336;9,615385e-03;2,00;5,225028e-05
447;"T1";"H";336;1,6e-03;1,00;2,888944e-06
448;"T1";"I";336;6,640106e-04;1,00;4,659329e-07
449;"T1";"J";336;8,264463e-03;1,00;7,542224e-05
450;"T1";"A";338;0,41;11,52;0,04
451;"T1";"D";338;4,19874e-03;5,33;9,486662e-06
452;"T1";"I";338;3,320053e-04;1,00;8,747197e-08
453;"T1";"A";339;0,01;1,00;1,535299e-04
454;"T1";"D";339;4,89853e-03;1,28;1,900428e-05
455;"T1";"E";339;0,03;2,25;9,239716e-04
456;"T1";"F";339;0,21;14,33;0,01
457;"T1";"G";339;5,597015e-03;2,66;2,936246e-05
458;"T1";"D";345;6,997901e-03;1,60;1,567634e-03
459;"T1";"C";346;0,05;3,47;5,821212e-03
460;"T1";"J";346;0,01;5,25;1,270687e-03
461;"T1";"D";349;0,01;3,31;6,468743e-05
462;"T1";"E";349;0,02;2,33;2,401256e-04
463;"T1";"F";349;0,07;2,00;8,667093e-04
464;"T1";"G";349;0,10;5,80;4,726975e-03
465;"T1";"H";349;0,36;12,70;0,07
466;"T1";"I";349;0,02;6,94;3,618761e-04
467;"T1";"J";349;8,264463e-03;2,00;3,851295e-05
468;"T1";"D";350;7,697691e-03;1,36;7,52271e-04
469;"T1";"E";350;9,615385e-03;2,00;9,257041e-04
470;"T1";"I";350;3,320053e-04;1,00;2,063702e-06
471;"T1";"C";355;0,01;2,00;6,493486e-05
472;"T1";"D";355;0,04;3,04;2,22671e-03
473;"T1";"E";355;0,02;2,00;6,089664e-04
474;"T1";"F";355;0,14;1,00;8,792012e-03
475;"T1";"G";355;7,462687e-03;1,50;6,116206e-05
476;"T1";"H";355;1,6e-03;3,00;3,741117e-06
477;"T1";"I";355;6,640106e-04;2,00;6,033725e-07
478;"T1";"E";361;0,09;12,40;0,01
479;"T1";"D";362;3,49895e-03;9,40;6,535004e-05
480;"T1";"E";362;9,615385e-03;2,00;3,892146e-04
481;"T1";"H";362;4,8e-03;2,33;1,936788e-04
482;"T1";"I";362;0,01;5,36;3,123678e-03
483;"T1";"J";362;4,132231e-03;1,00;1,404559e-04
484;"T1";"D";365;1,39958e-03;25,50;2,514986e-06
485;"T1";"E";365;0,17;7,05;0,03
486;"T1";"C";366;0,01;1,40;2,710096e-05
487;"T1";"D";366;0,08;1,41;1,836388e-03
488;"T1";"E";366;0,01;1,50;7,229321e-05
489;"T1";"F";366;0,50;1,71;0,02
490;"T1";"G";366;0,15;1,53;7,204559e-03
491;"T1";"H";366;0,08;2,14;2,913906e-03
492;"T1";"I";366;0,02;1,52;3,120165e-04
493;"T1";"J";366;0,01;1,00;5,869902e-05
494;"T1";"I";367;2,656042e-03;2,00;8,774361e-04
495;"T1";"A";369;0,21;1,00;3,992909e-03
496;"T1";"C";369;0,03;1,16;1,072061e-04
497;"T1";"D";369;0,11;2,20;2,081041e-03
498;"T1";"E";369;0,25;1,62;9,048514e-03
