SPECIES_NR;NAME_SCIENTIFIC;NAME_NL
1;Acer campestre;Spaanse aak
2;Acer pseudoplatanus;Gewone esdoorn
4;Achillea millefolium;Duizendblad
5;Achillea ptarmica;Wilde bertram
10;Adoxa moschatellina;Muskuskruid
11;Aegopodium podagraria;Zevenblad
17;Agrostis gigantea;Hoog struisgras
17;Agrostis nigra;Hoog struisgras
17;Agrostis stolonifera subsp. gigantea;Hoog struisgras
18;Agrostis stolonifera;Fioringras
19;Agrostis capillaris;Gewoon struisgras
19;Agrostis pumila;Gewoon struisgras
19;Agrostis tenuis;Gewoon struisgras
19;Agrostis vulgaris;Gewoon struisgras
24;Ajuga reptans;Kruipend zenegroen
28;Alisma plantago-aquatica;Grote waterweegbree
29;Alliaria officinalis;Look-zonder-look
29;Alliaria petiolata;Look-zonder-look
29;Sisymbrium alliaria;Look-zonder-look
33;Allium scorodoprasum;Slangenlook
34;Allium ursinum;Daslook
35;Allium vineale;Kraailook
36;Alnus glutinosa;Zwarte els
37;Alnus incana;Witte els
40;Alopecurus geniculatus;Geknikte vossenstaart
42;Alopecurus pratensis;Grote vossenstaart
54;Anchusa arvalis;Gewone ossentong
54;Anchusa officinalis;Gewone ossentong
54;Anchusa pinguis;Gewone ossentong
56;Anemone nemorosa;Bosanemoon
58;Anemone ranunculoides;Gele anemoon
59;Angelica archangelica;Grote engelwortel
60;Angelica sylvestris;Gewone engelwortel
66;Anthoxanthum odoratum;Gewoon reukgras
68;Anthriscus caucalis;Fijne kervel
68;Anthriscus scandicinus;Fijne kervel
68;Anthriscus vulgaris;Fijne kervel
68;Cerefolium anthriscus;Fijne kervel
70;Anthriscus sylvestris;Fluitenkruid
70;Cerefolium sylvestre;Fluitenkruid
78;Apium nodiflorum;Groot moerasscherm
78;Helosciadium nodiflorum;Groot moerasscherm
83;Arctium lappa;Grote klit
83;Arctium majus;Grote klit
83;Lappa major;Grote klit
83;Lappa officinalis;Grote klit
84;Arctium minus;Kleine klit
84;Lappa minor;Kleine klit
86;Arctium minus subsp. pubens;Middelste klit
86;Arctium pubens;Middelste klit
96;Arrhenatherum elatius;Glanshaver
96;Avena elatior;Glanshaver
